,poster_path,production_countries,revenue,overview,video,id,genres,title,tagline,vote_count,homepage,belongs_to_collection,original_language,status,spoken_languages,imdb_id,adult,backdrop_path,production_companies,release_date,popularity,original_title,budget,vote_average,runtime
0,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,[u'United States of America'],877017934,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,False,321612,"[u'Fantasy', u'Music', u'Romance']",Beauty and the Beast,Be our guest.,1274,http://movies.disney.com/beauty-and-the-beast-2017,0,en,Released,[u'en'],tt2771200,False,/6aUWe0GSl69wMTSWWexsorMIvwU.jpg,"[u'Walt Disney Pictures', u'Mandeville Films']",2017-03-17,179.45132,Beauty and the Beast,160000000,7.1,129
1,/45Y1G5FEgttPAwjTYic6czC9xCn.jpg,[u'United States of America'],586061420,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.",False,263115,"[u'Action', u'Drama', u'Science Fiction']",Logan,His Time Has Come,2104,http://www.foxmovies.com/movies/logan,"{u'backdrop_path': u'/Abnosho2v3bcdvDww6T7Hfeczm1.jpg', u'poster_path': u'/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg', u'id': 748, u'name': u'X-Men Collection'}",en,Released,[u'en'],tt3315342,False,/5pAGnkFYSsFJ99ZxDIYnhQbQFXs.jpg,"[u'Twentieth Century Fox Film Corporation', u""Donners' Company"", u'Marvel Entertainment', u'TSG Entertainment']",2017-02-28,116.369877,Logan,97000000,7.6,141
2,/s9ye87pvq2IaDvjv9x4IOXVjvA7.jpg,[u'United States of America'],601303829,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,False,335797,"[u'Animation', u'Comedy', u'Drama', u'Family', u'Music']",Sing,Auditions begin 2016.,1015,http://www.singmovie.com/,0,en,Released,"[u'en', u'ja', u'uk']",tt3470600,False,/fxDXp8un4qNY9b1dLd7SH6CKzC.jpg,"[u'Universal Pictures', u'Fuji Television Network', u'Dentsu', u'Illumination Entertainment']",2016-11-23,79.989984,Sing,75000000,6.7,108
3,/aoUyphk4nwffrwlZRaOa0eijgpr.jpg,[u'United States of America'],478935658,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",False,293167,"[u'Science Fiction', u'Action', u'Adventure', u'Fantasy']",Kong: Skull Island,All hail the king,883,http://kongskullislandmovie.com/,0,en,Released,[u'en'],tt3731562,False,/pGwChWiAY1bdoxL79sXmaFBlYJH.jpg,"[u'Warner Bros.', u'Legendary Entertainment']",2017-03-08,60.933195,Kong: Skull Island,190000000,6.1,118
4,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,[u'United States of America'],1513528810,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",False,135397,"[u'Action', u'Adventure', u'Science Fiction', u'Thriller']",Jurassic World,The park is open.,6720,http://www.jurassicworld.com/,"{u'backdrop_path': u'/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg', u'poster_path': u'/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', u'id': 328, u'name': u'Jurassic Park Collection'}",en,Released,[u'en'],tt0369610,False,/dkMD5qlogeRMiEixC4YNPUvax2T.jpg,"[u'Universal Studios', u'Amblin Entertainment', u'Legendary Pictures', u'Fuji Television Network', u'Dentsu']",2015-06-09,50.976724,Jurassic World,150000000,6.5,124
5,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,[u'United States of America'],60100336,"In the near future, Major is the first of her kind: a human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",False,315837,"[u'Action', u'Drama', u'Science Fiction']",Ghost in the Shell,,244,http://www.ghostintheshellmovie.com/,0,en,Released,[u'en'],tt1219827,False,/lsRhmB7m36pEX0UHpkpJSE48BW5.jpg,"[u'Paramount Pictures', u'DreamWorks SKG', u'Grosvenor Park Productions']",2017-03-29,41.800777,Ghost in the Shell,110000000,6.4,106
6,/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,"[u'United Kingdom', u'United States of America']",809342332,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",False,259316,"[u'Adventure', u'Action', u'Fantasy']",Fantastic Beasts and Where to Find Them,From J.K. Rowling's wizarding world.,3122,http://www.fantasticbeasts.com/,"{u'backdrop_path': u'/jc1Sh8U6dvWv9rHaRl8aosTAoPN.jpg', u'poster_path': u'/wsVseA7i3FqX24m26Z2gD3EtH4l.jpg', u'id': 435259, u'name': u'Fantastic Beasts Collection'}",en,Released,[u'en'],tt3183660,False,/kMzU4PkXcKcDMngCxXji0BbVXsu.jpg,"[u'Heyday films', u'Warner Bros.']",2016-11-16,39.553052,Fantastic Beasts and Where to Find Them,180000000,7.0,133
7,/67NXPYvK92oQgEQvLppF2Siol9q.jpg,[u'United States of America'],111065699,"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",False,295693,"[u'Animation', u'Comedy', u'Family']",The Boss Baby,Born leader,182,http://www.dreamworks.com/thebossbaby/,0,en,Released,[u'en'],tt3874544,False,/8keMlLuzB9XIUBnbdEq5DCqZdHQ.jpg,"[u'Twentieth Century Fox Film Corporation', u'DreamWorks Animation']",2017-03-23,38.72391,The Boss Baby,0,5.8,97
8,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,"[u'Canada', u'United States of America', u'United Kingdom']",675120017,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,False,157336,"[u'Adventure', u'Drama', u'Science Fiction']",Interstellar,Mankind was born on Earth. It was never meant to die here.,8066,http://www.interstellarmovie.net/,0,en,Released,[u'en'],tt0816692,False,/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg,"[u'Paramount Pictures', u'Legendary Pictures', u'Warner Bros.', u'Syncopy', u'Lynda Obst Productions']",2014-11-05,34.594463,Interstellar,165000000,8.0,169
9,/z09QAf8WbZncbitewNk6lKYMZsh.jpg,[u'United States of America'],1028131226,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,False,127380,"[u'Adventure', u'Animation', u'Comedy', u'Family']",Finding Dory,An unforgettable journey she probably won't remember.,2914,http://movies.disney.com/finding-dory,"{u'backdrop_path': u'/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg', u'poster_path': u'/xwggrEugjcJDuabIWvK2CpmK91z.jpg', u'id': 137697, u'name': u'Finding Nemo Collection'}",en,Released,[u'en'],tt2277860,False,/iWRKYHTFlsrxQtfQqFOQyceL83P.jpg,"[u'Walt Disney Pictures', u'Pixar Animation Studios']",2016-06-16,33.089495,Finding Dory,200000000,6.7,97
