imdb_ids,year,rating,votes,popularity_TMDB,runtime_TMDB,text_PC1,text_PC2,text_PC3,text_PC4,text_PC5,text_PC6,text_PC7,text_PC8,text_PC9,text_PC10,text_PC11,text_PC12,text_PC13,text_PC14,text_PC15,text_PC16,text_PC17,text_PC18,text_PC19,text_PC20,text_PC21,text_PC22,text_PC23,text_PC24,text_PC25,text_PC26,text_PC27,text_PC28,text_PC29,text_PC30,mpaa_PC1,mpaa_PC2,mpaa_PC3,mpaa_PC4,mpaa_PC5,mpaa_PC6,mpaa_PC7,mpaa_PC8,mpaa_PC9,mpaa_PC10,director0,director1,director2,director3,director4,director5,director6,director7,director8,director9,director10,director11,director12,director13,director14,director15,director16,director17,director18,director19,director20,director21,director22,writer0,writer1,writer2,writer3,writer4,writer5,writer6,writer7,writer8,writer9,writer10,writer11,writer12,writer13,writer14,writer15,writer16,writer17,writer18,writer19,writer20,writer21,writer22,cast_PC1,cast_PC2,cast_PC3,cast_PC4,cast_PC5,cast_PC6,cast_PC7,cast_PC8,cast_PC9,cast_PC10,production companies_PC1,production companies_PC2,production companies_PC3,production companies_PC4,production companies_PC5,animation department count,original music count,country_n,country_usa,country_france,country_uk,country_germany,country_italy,country_canada,country_japan,country_india,country_spain
220440,1982.0,7.8,15.0,8e-06,60.0,-2.23923021634,0.0164162888272,0.295667409286,-0.0693151633589,0.0164704371758,0.0118241087473,0.241682522691,0.0706890666458,0.197064391106,-0.125102854977,-0.146930755273,0.0786097663471,-0.011835803954,-0.163269461257,0.117925660128,0.126866368624,-0.054568598383,0.0660289894273,-0.122625577958,-0.125947998571,0.0855057041047,-0.0751070882213,-0.186277213225,-0.0328399271003,0.113948672219,-0.00912940530536,0.0180444054119,-0.0196582818953,0.000677560425671,0.093019540717,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,0,1,0,0,1,0,0,0,0,0,0
136227,1987.0,7.4,9.0,0.03375,75.0,-2.02835937495,0.058291964445,0.0856549517296,-0.194582736251,0.129280362014,-0.17353744593,-0.058986093773,0.303105718378,-0.0254382383342,0.135520787809,0.136661752961,-0.0547902703724,-0.0973794827291,-0.167863945559,0.0342473810975,0.14809552295,-0.0923805136034,0.0033103459407,-0.0521543317364,-0.376681467155,0.0300706482689,-0.237259547619,-0.12617493295,-0.0423831720331,-0.104076512837,0.0366564888289,-0.00970633692232,-0.201283964678,-0.0531622563948,0.0139896024807,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,0,1,1,0,0,0,0,0,0,0,0
1686303,2010.0,2.5,127.0,0.000715,92.0,-0.795602158562,0.177504741851,-0.297216159733,-0.758713048264,-0.119128315474,-0.201903380587,-0.763018585171,0.437898358979,0.0783472464124,0.311262888462,-0.188368519125,-0.175140890027,0.56682144504,0.543052864616,1.06522995074,-0.500453878,0.155873892163,-0.659059092055,-0.0826471066701,-0.535036375822,0.223554906254,0.308342605872,0.0334706744863,-0.0596258357146,0.329748366632,-0.463274443466,-0.517135559999,-0.000382890088813,-0.0405049245812,0.342346844666,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,1,1,1,0,0,0,0,0,0,0,0
1103253,2007.0,6.9,12.0,0.001205,86.6423061307,-2.261669731,-0.016543341382,0.298980784072,-0.0613284642884,0.0536069557117,0.00536986571237,0.221501108961,0.0771851200172,0.2124745306,-0.0922041511653,-0.131507264023,0.100633111179,-0.00463615011237,-0.159519182816,0.102447405643,0.129739784632,-0.0766062631846,0.0156443411002,-0.0566409011493,-0.0892292019756,0.0439129564558,-0.0855274904197,-0.0875191065183,-0.00582733675947,0.0996181353949,0.052241280171,0.0290618646798,0.00848777378271,-0.0444253842256,0.0564253632164,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,0,1,0,1,0,0,0,0,0,0,0
459149,1968.0,6.6,13.0,0.000215,5.0,-1.91805239378,0.0709798819062,0.232508156636,-0.176235707369,0.170958192361,-0.110582742586,0.0148421129172,0.19442434059,-0.042261770402,0.0449507962359,0.0983624911373,-0.0353749307034,-0.212066603071,-0.0708049413476,0.0364842003073,0.143250238846,0.0057345114856,-0.00560527545332,-0.0310384540186,-0.169871248755,-0.156461882095,0.00695013737694,-0.0697963695217,-0.315672997015,-0.0304946072973,0.18823166271,-0.16445761719,-0.018681862537,0.0278812648676,0.0744985725793,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,1,1,0,1,0,0,0,0,0,0,0
348572,2003.0,6.0,572.0,0.062465,98.0,-2.04141061761,0.11581252892,0.243153499305,0.202417413499,0.301521017083,0.0459801684266,0.24049028263,0.234782679077,0.243451876138,0.256166887173,-0.224376367355,0.442550095318,0.317211599051,0.743445147497,0.209991967138,-0.790004424914,-0.418350612837,-0.612208719928,0.905644952368,1.31527998993,-1.06518349502,0.914915864181,4.2157996382,0.590662818122,-0.456331666882,2.21984813726,0.571058677169,0.76848356255,-0.760646036445,-0.314221280142,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,1,1,0,1,0,0,0,0,0,0,0
1391140,2010.0,8.1,987.0,0.017988,180.0,-1.21327828781,-0.297297151111,0.732585948542,-0.834094598648,0.622725781154,-1.34085019296,-0.585039109586,-0.500784451189,-0.165472864204,-1.20860810945,-0.485543743408,0.573522142868,-0.428299554165,0.121066845156,-0.249448984093,0.561185108657,-0.156992610992,0.391278739542,-0.00224238667395,-0.142590329136,0.0691453922962,-0.390545742104,-0.0208881441998,0.362329938554,0.323788252889,0.240599545363,-0.131638315437,-0.073310309741,0.0730171346965,-0.316703461563,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,1,1,0,0,0,0,0,0,0,0,0
1590157,2010.0,5.6,427.0,0.041971,95.0,-1.52461856814,0.288840687351,0.336061174299,0.0253563314026,0.0134360867981,0.0622193323995,-0.0714574608431,-0.23661452076,0.489107618387,-0.0614988927097,-0.0330336529509,0.0634822545837,-0.0803983689203,0.58894777955,0.379251166435,0.114084627588,-0.0876374684618,-0.400435489677,0.445402827252,0.337401302875,0.137118638021,0.405698301933,-0.219642477908,-0.0593977258339,-0.518614946148,0.0960814700076,0.190857500879,-0.413966200731,0.432185519316,0.847528150572,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.133623184481,2.92184131752,0.171778574838,-0.136961873899,0.0226788673985,0,0,3,0,1,0,0,0,0,0,0,0
330707,2001.0,6.8,100.0,0.00024,53.0,-1.74640015614,0.104948334154,-0.341283657248,-0.215777657283,0.198603970421,-0.285116639083,-0.203668449948,0.590253735632,-0.499771710855,0.266851562673,0.487968250083,-0.340738727043,-0.259222953048,-0.474753583014,-0.0640911422165,0.0721629157537,-0.117860657119,-0.138404481346,0.122586516472,-0.396730004855,0.10858287953,-0.453440939884,0.139447210038,0.338903175213,0.0406419707969,-0.141635337417,0.717376506465,-0.491949869274,0.203327849143,0.1167460521,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,1,1,1,0,0,0,0,0,0,0,0
205190,1999.0,6.1,2000.0,0.000585,119.0,0.385702389306,0.00790776378348,0.887815984432,-1.06178718404,-0.714074814545,1.69646370924,0.475101121264,1.02287693741,-0.188916090664,-0.239462555509,-0.0482779626718,0.559329276457,-0.915057976056,0.271647028232,0.441628739449,0.541093708892,-0.152194256043,-0.599472518094,0.821141973997,0.160496282767,0.127020371353,-0.0964956376284,-0.172153334953,-0.608004214823,-0.552989184643,-0.227944151377,-0.0582050164977,0.0399680429179,0.29185303883,-0.0293145487559,-0.260366675522,0.00187254052295,0.0202099409563,0.00507802103474,-0.00450959520358,0.000901096099119,0.00551569084229,0.00740531146565,-0.00346610562836,0.00565097349388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271090243097,-0.0114396043727,-0.011899276828,-0.00857868722533,-0.010681174472,-0.00171646059508,-0.00187895762365,-7.78078556522e-05,-0.00848383784763,-0.00552730344228,-0.0927814268654,-0.0814452128894,-0.0354000572586,-0.0604802359476,-0.0395785928668,0,3,1,0,0,0,0,0,0,0,0,0
